,text,created_at,news_org,sentiment,positive,negative,neutral,compound,tweets_ago
31,The young Austrian leader sharing power with the far right https://t.co/iIxMddKz8a,Fri Jun 29 23:50:03 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.4215}",0.219,0.0,0.781,0.4215,32
32,"DR Congo: Oil drilling allowed in Virguna, Salonga parks https://t.co/5xV23utRMN",Fri Jun 29 23:47:37 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,33
33,Doug Ford: Brother of notorious Rob Ford takes over Ontario https://t.co/bY7q1E4icV,Fri Jun 29 21:51:12 +0000 2018,@BBCWorld,"{'neg': 0.419, 'neu': 0.581, 'pos': 0.0, 'compound': -0.7579}",0.0,0.419,0.581,-0.7579,34
34,Unknown 'hero' helps man who fell on Toronto subway tracks https://t.co/9i7nsoss06,Fri Jun 29 19:02:34 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.3818}",0.206,0.0,0.794,0.3818,35
35,Turkey arrests former opposition MP on terrorism charges https://t.co/z2mv0O5Z1j,Fri Jun 29 18:03:00 +0000 2018,@BBCWorld,"{'neg': 0.615, 'neu': 0.385, 'pos': 0.0, 'compound': -0.8625}",0.0,0.615,0.385,-0.8625,36
36,Adam Sandler: Wedding Singer turns wedding crasher https://t.co/SxyzrBGiE2,Fri Jun 29 18:00:24 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,37
37,Capital Gazette shooting: Remembering the victims https://t.co/Kp982XOUju,Fri Jun 29 17:29:58 +0000 2018,@BBCWorld,"{'neg': 0.277, 'neu': 0.723, 'pos': 0.0, 'compound': -0.3182}",0.0,0.277,0.723,-0.3182,38
38,How fake news fuels Nigeria's herder crisis https://t.co/JEX7i1Bi7N,Fri Jun 29 17:09:45 +0000 2018,@BBCWorld,"{'neg': 0.545, 'neu': 0.455, 'pos': 0.0, 'compound': -0.802}",0.0,0.545,0.455,-0.802,39
39,Himmler's daughter worked for post-war German spy agency https://t.co/IIszX8JB3D,Fri Jun 29 16:47:12 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,40
40,Leo Varadkar rejects 'goods only' Brexit deal https://t.co/AbK90Fmk5Q,Fri Jun 29 16:31:47 +0000 2018,@BBCWorld,"{'neg': 0.314, 'neu': 0.686, 'pos': 0.0, 'compound': -0.4939}",0.0,0.314,0.686,-0.4939,41
41,Migrant crisis: EU leaders split on new migrant deal https://t.co/eWVMKMmgCY,Fri Jun 29 16:21:11 +0000 2018,@BBCWorld,"{'neg': 0.313, 'neu': 0.687, 'pos': 0.0, 'compound': -0.6249}",0.0,0.313,0.687,-0.6249,42
42,Newspaper shooting suspect 'barricaded exit' https://t.co/j890i7N381,Fri Jun 29 16:14:48 +0000 2018,@BBCWorld,"{'neg': 0.306, 'neu': 0.694, 'pos': 0.0, 'compound': -0.296}",0.0,0.306,0.694,-0.296,43
43,'Abacha loot' to be given to poor Nigerians https://t.co/bnB8NgJ4Zj,Fri Jun 29 15:44:02 +0000 2018,@BBCWorld,"{'neg': 0.279, 'neu': 0.721, 'pos': 0.0, 'compound': -0.4767}",0.0,0.279,0.721,-0.4767,44
44,😞 https://t.co/Og4YuJNhiD,Fri Jun 29 15:05:15 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,45
45,Ken Isaacs: UN migration agency rejects Trump nominee https://t.co/S0KvvUkv30,Fri Jun 29 14:58:28 +0000 2018,@BBCWorld,"{'neg': 0.286, 'neu': 0.714, 'pos': 0.0, 'compound': -0.4939}",0.0,0.286,0.714,-0.4939,46
46,"Saudi rapper Leesa A celebrates end of country's ban on women driving in music video

https://t.co/TPv1zwlBTN https://t.co/Ws2iM1UsYx",Fri Jun 29 14:52:34 +0000 2018,@BBCWorld,"{'neg': 0.169, 'neu': 0.657, 'pos': 0.174, 'compound': 0.0258}",0.174,0.169,0.657,0.0258,47
47,What went wrong for Africa at the World Cup? https://t.co/8W3DJbI4vh,Fri Jun 29 14:45:34 +0000 2018,@BBCWorld,"{'neg': 0.256, 'neu': 0.744, 'pos': 0.0, 'compound': -0.4767}",0.0,0.256,0.744,-0.4767,48
48,15 abortions performed in Ireland in 2017 https://t.co/3ySsXXH7iS,Fri Jun 29 14:38:03 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,49
49,Saudi rapper releases driving music video https://t.co/5kC2XyYptR,Fri Jun 29 13:37:35 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,50
50,"RT @BBCNews: ""We need quick progress"" on #Brexit @eucopresident says https://t.co/T4ck1V5MXp #eusummit https://t.co/2nhJrRjhCz",Fri Jun 29 13:24:04 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.4215}",0.189,0.0,0.811,0.4215,51
51,Irish cervical check scandal: Mother settles case for €7.5m https://t.co/KHdHjSdH8p,Fri Jun 29 13:15:48 +0000 2018,@BBCWorld,"{'neg': 0.244, 'neu': 0.756, 'pos': 0.0, 'compound': -0.4404}",0.0,0.244,0.756,-0.4404,52
52,Migrant separations: Susan Sarandon arrested at protest rally https://t.co/fX0cdiUrk0,Fri Jun 29 12:40:20 +0000 2018,@BBCWorld,"{'neg': 0.421, 'neu': 0.579, 'pos': 0.0, 'compound': -0.6249}",0.0,0.421,0.579,-0.6249,53
53,Wisconsin man injured after upskirting shoe camera explodes https://t.co/gKRGbdC4BC,Fri Jun 29 12:27:39 +0000 2018,@BBCWorld,"{'neg': 0.252, 'neu': 0.748, 'pos': 0.0, 'compound': -0.4019}",0.0,0.252,0.748,-0.4019,54
54,European press says migrant deal 'fragile' https://t.co/c0dACB5R9d,Fri Jun 29 12:20:07 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,55
55,"""It's the right move for him""

David Beckham on @WayneRooney's move to play ⚽ in the US 

https://t.co/gzXWc0wVk3 https://t.co/3Wrgo2tN1d",Fri Jun 29 10:59:57 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.34}",0.124,0.0,0.876,0.34,56
56,Iraq executes 12 for terrorism after IS captives found dead https://t.co/4ZbBibnBXu,Fri Jun 29 10:56:29 +0000 2018,@BBCWorld,"{'neg': 0.497, 'neu': 0.503, 'pos': 0.0, 'compound': -0.872}",0.0,0.497,0.503,-0.872,57
57,Europe migrant crisis: Gruelling EU match ends in a draw https://t.co/QpIw4SEOds,Fri Jun 29 10:02:47 +0000 2018,@BBCWorld,"{'neg': 0.313, 'neu': 0.687, 'pos': 0.0, 'compound': -0.6249}",0.0,0.313,0.687,-0.6249,58
58,"""Unique. Different. Shocking. Ugly. Beautiful?""

@hadjisophia is a model challenging beauty stereotypes… https://t.co/7UkAvss0Bg",Fri Jun 29 09:17:12 +0000 2018,@BBCWorld,"{'neg': 0.309, 'neu': 0.412, 'pos': 0.278, 'compound': -0.1531}",0.278,0.309,0.412,-0.1531,59
59,RT @BBCNews: 🤣 https://t.co/zZogLw0TYZ,Fri Jun 29 09:01:42 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,60
60,"""She's speeding and I'm on top of the car"" 😲

https://t.co/xFuC8Z81LJ https://t.co/oEljytQm5s",Fri Jun 29 08:40:39 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.2023}",0.153,0.0,0.847,0.2023,61
61,RT @bbcworldservice: How a farting unicorn has come between @elonmusk and the artist who painted it. 🦄 📻 https://t.co/at2pyVZn90 https://t.…,Fri Jun 29 07:46:55 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,62
62,Maryland shooting: Gazette staff publish Friday edition https://t.co/BRHVhJFzuC,Fri Jun 29 07:20:20 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,63
63,Mexican and South Korean celebrations sourced by racist gestures https://t.co/OgXzhXC8tE,Fri Jun 29 06:19:06 +0000 2018,@BBCWorld,"{'neg': 0.308, 'neu': 0.692, 'pos': 0.0, 'compound': -0.6124}",0.0,0.308,0.692,-0.6124,64
64,"RT @BBCSport: And here it is, your #WorldCup last-16 draw in full...

30th June: 
3pm: #FRA v #ARG
7pm: #URU v #POR 

1st July:
3pm: #ESP v…",Fri Jun 29 06:13:09 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,65
65,Migrant crisis: EU summit leaders reach migration deal after marathon talks https://t.co/9PI6CwJPun,Fri Jun 29 04:07:46 +0000 2018,@BBCWorld,"{'neg': 0.27, 'neu': 0.658, 'pos': 0.072, 'compound': -0.6124}",0.072,0.27,0.658,-0.6124,66
66,'Come home': Thailand clings to hope for boys trapped in cave https://t.co/Om1qk1z5lg,Fri Jun 29 04:00:29 +0000 2018,@BBCWorld,"{'neg': 0.209, 'neu': 0.613, 'pos': 0.178, 'compound': -0.128}",0.178,0.209,0.613,-0.128,67
67,RT @bbcdavideades: Is this fair play? Japan qualified for the next round of the World Cup because they had fewer yellow cards for foul play…,Fri Jun 29 03:37:54 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 0.821, 'pos': 0.179, 'compound': 0.6155}",0.179,0.0,0.821,0.6155,68
68,Nigeria fuel truck blaze kills at least nine https://t.co/znOJyhbIC4,Fri Jun 29 03:06:53 +0000 2018,@BBCWorld,"{'neg': 0.304, 'neu': 0.696, 'pos': 0.0, 'compound': -0.5423}",0.0,0.304,0.696,-0.5423,69
